id,kampong,mukim,district
1,Kg. Biang,Mukim Amo,Temburong
2,Kg. Amo,Mukim Amo,Temburong
3,Kg. Sibut,Mukim Amo,Temburong
4,Kg. Sumbiling Baru,Mukim Amo,Temburong
5,Kg. Batang Duri,Mukim Amo,Temburong
6,Kg. Sumbiling Lama Amo,Mukim Amo,Temburong
7,Hutan Simpan Batu Apoi,Mukim Amo,Temburong
8,Kg. Selapon,Mukim Batu Apoi,Temburong
9,Kg. Lepong,Mukim Bokok,Temburong
10,Kg. Semabat,Mukim Bokok,Temburong
11,Kawasan Bahaya Mukim Bokok,Mukim Bokok,Temburong
12,Kg. Temada,Mukim Bokok,Temburong
13,Hutan Simpan Batu Apoi,Mukim Bokok,Temburong
14,Kg. Ikas,Mukim Keriam,Tutong
15,Kg. Katok,Mukim Gadong A,Brunei Muara
16,Kg. Jaya Bakti,Mukim Berakas A,Brunei Muara
17,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei Muara
18,Perumahan Negara Rimba Kawasan 4,Mukim Gadong A,Brunei Muara
19,Lapangan Terbang Antarabangsa Brunei,Mukim Berakas A,Brunei Muara
20,Hutan Simpan,Mukim Gadong A,Brunei Muara
21,Perumahan Negara Lambak Kanan Kawasan 1,Mukim Berakas B,Brunei Muara
22,Perumahan Negara Rimba Kawasan 1,Mukim Gadong A,Brunei Muara
23,Perumahan Negara Rimba Kawasan 2,Mukim Gadong A,Brunei Muara
24,Perumahan Negara Lambak Kanan Kawasan 3,Mukim Berakas B,Brunei Muara
25,Perumahan Negara Rimba Kawasan 3,Mukim Gadong A,Brunei Muara
26,Perumahan Negara Lambak Kanan Kawasan 4,Mukim Berakas B,Brunei Muara
27,Perumahan Negara Lambak Kanan Kawasan 5,Mukim Berakas B,Brunei Muara
28,Perumahan Negara Rimba Kawasan 5,Mukim Gadong A,Brunei Muara
29,Perumahan Negara Mentiri Kawasan A,Mukim Mentiri,Brunei Muara
30,Perumahan Negara Mentiri Kawasan B,Mukim Mentiri,Brunei Muara
31,Kawasan Jabatan-Jabatan Dan Perumahan Kerajaan,Mukim Berakas A,Brunei Muara
32,Kg. Anggerek Desa,Mukim Berakas A,Brunei Muara
33,Kg. Bakut Berumput,Mukim Peramu,Brunei Muara
34,Kg. Bakut Pengiran Siraja Muda A,Mukim Peramu,Brunei Muara
35,Kg. Bakut Pengiran Siraja Muda B,Mukim Peramu,Brunei Muara
36,Kg. Batang Perhentian,Mukim Pangkalan Batu,Brunei Muara
37,Kg. Batong,Mukim Pangkalan Batu,Brunei Muara
38,Kg. Batu Ampar,Mukim Pangkalan Batu,Brunei Muara
39,Kg. Batu Marang,Mukim Mentiri,Brunei Muara
40,Kg. Bebatik,Mukim Pangkalan Batu,Brunei Muara
41,Kg. Bebuloh,Mukim Pangkalan Batu,Brunei Muara
42,Kg. Belimbing,Mukim Kota Batu,Brunei Muara
43,Kg. Bengkurong,Mukim Kilanas,Brunei Muara
44,Kg. Berangan,Mukim Kianggeh,Brunei Muara
45,Kg. Beribi,Mukim Gadong B,Brunei Muara
46,Kg. Bolkiah A,Mukim Sungai Kebun,Brunei Muara
47,Kg. Bolkiah B,Mukim Sungai Kebun,Brunei Muara
48,Kg. Buang Sakar,Mukim Lumapas,Brunei Muara
49,Kg. Buang Tawar,Mukim Kota Batu,Brunei Muara
50,Kg. Buang Tekurok,Mukim Lumapas,Brunei Muara
51,Kg. Bunut,Mukim Kilanas,Brunei Muara
52,Kg. Bunut Perpindahan,Mukim Kilanas,Brunei Muara
53,Kg. Burong Lepas,Mukim Kilanas,Brunei Muara
54,Kg. Burong Pingai Ayer,Mukim Burong Pingai Ayer,Brunei Muara
55,Kg. Burong Pingai Berakas,Mukim Berakas A,Brunei Muara
56,Kg. Dato Gandi,Mukim Kota Batu,Brunei Muara
57,Kg. Gadong Batu,Mukim Kota Batu,Brunei Muara
58,Kg. Imang,Mukim Pangkalan Batu,Brunei Muara
59,Kg. Jangsak,Mukim Kilanas,Brunei Muara
60,Kg. Jaya Setia,Mukim Berakas A,Brunei Muara
61,Kg. Jerudong,Mukim Sengkurong,Brunei Muara
62,Kg. Junjongan,Mukim Pangkalan Batu,Brunei Muara
63,Kg. Kapok,Mukim Serasa,Brunei Muara
64,Kg. Katimahar,Mukim Sengkurong,Brunei Muara
65,Kg. Kianggeh,Mukim Kianggeh,Brunei Muara
66,Kg. Kiarong,Mukim Gadong B,Brunei Muara
67,Kg. Kilanas,Mukim Kilanas,Brunei Muara
68,Kg. Kiulap,Mukim Gadong B,Brunei Muara
69,Kg. Kota Batu,Mukim Kota Batu,Brunei Muara
70,Kg. Kuala Peminyak,Mukim Sungai Kedayan,Brunei Muara
71,Kg. Kulapis,Mukim Sengkurong,Brunei Muara
